,streamflow_change,dprec,dT
0,57.784872489852134,33.576146093649015,5.22731339931488
1,21.332038118789637,15.55284287641693,4.836261212825775
2,3.024708007469615,26.846411502426186,5.321446418762207
3,-5.401892254343271,19.958150233981613,4.795393943786621
4,-23.760717318002712,12.381364063800305,4.153914451599121
5,-24.764673410319247,1.5697422476116225,3.0075035095214844
6,-12.078778887455762,-1.4241594757781566,1.995412826538086
7,-8.93537243722016,8.34106099797122,1.0742740631103516
8,-10.532827782762128,15.39094600561279,1.2273082733154297
9,-9.337875719387924,2.3212588449733085,1.87479829788208
10,6.374668976465971,16.397155795005087,3.0793948844075203
11,42.8362765266031,33.317648194639894,4.697516083717346
